ledger_id,contract_id,created_at,period,ledger_type,ledger_status,initial_balance,balance,due_date,paid_off_date
k27dvsq,0b8gm,2020-09-23T17:08:11.588,2,LATE_FEE,PAID,35000,0,2020-09-20T16:59:59.999,2020-09-25T02:54:24
ezj0qkd,0b8gm,2020-07-20T01:30:51.973,1,INTEREST,PAID,0,0,2020-08-20T16:59:59.999,2020-08-26T02:33:40
leg2glb,0b8gm,2020-07-20T01:30:51.973,1,PRINCIPAL,PAID,293000,0,2020-08-20T16:59:59.999,2020-08-26T02:33:40
epk2d63,0b8gm,2020-07-20T01:30:51.973,4,INTEREST,UNPAID,0,0,2020-11-20T16:59:59.999,
k8eb4f1,0b8gm,2020-07-20T01:30:51.973,4,PRINCIPAL,UNPAID,293000,293000,2020-11-20T16:59:59.999,
qo0e8ia,0b8gm,2020-07-20T01:30:51.973,2,INTEREST,PAID,0,0,2020-09-20T16:59:59.999,2020-09-25T02:54:24
em05ka7,0b8gm,2020-07-20T01:30:51.973,2,PRINCIPAL,PAID,293000,0,2020-09-20T16:59:59.999,2020-09-25T02:54:24
5j70wl8,0b8gm,2020-07-20T01:30:51.973,5,INTEREST,UNPAID,0,0,2020-12-20T16:59:59.999,
hff7j7n,0b8gm,2020-07-20T01:30:51.973,5,PRINCIPAL,UNPAID,293000,293000,2020-12-20T16:59:59.999,
oygh9g0,0b8gm,2020-07-20T01:30:51.973,3,INTEREST,UNPAID,0,0,2020-10-20T16:59:59.999,
r3lk3r7,0b8gm,2020-07-20T01:30:51.973,3,PRINCIPAL,UNPAID,293000,293000,2020-10-20T16:59:59.999,
kc93y8s,0b8gm,2020-07-20T01:30:51.973,6,INTEREST,UNPAID,0,0,2021-01-20T16:59:59.999,
hbclpul,0b8gm,2020-07-20T01:30:51.973,6,PRINCIPAL,UNPAID,293000,293000,2021-01-20T16:59:59.999,
9yghqpu,0b8gm,2020-08-23T17:09:00.949,1,LATE_FEE,WAIVED,45000,0,2020-08-20T16:59:59.999,2020-08-26T02:30:14.967
qdng3yv,0bk9s,2020-09-23T17:08:18.244,2,LATE_FEE,UNPAID,315000,315000,2020-09-20T16:59:59.999,
whdreim,0bk9s,2020-07-20T06:16:51.318,1,PRINCIPAL,UNPAID,483500,483500,2020-08-20T16:59:59.999,
9y3vldk,0bk9s,2020-07-20T06:16:51.318,1,INTEREST,UNPAID,0,0,2020-08-20T16:59:59.999,
kj6kx8x,0bk9s,2020-07-20T06:16:51.318,2,PRINCIPAL,UNPAID,483500,483500,2020-09-20T16:59:59.999,
mus2b6e,0bk9s,2020-07-20T06:16:51.318,2,INTEREST,UNPAID,0,0,2020-09-20T16:59:59.999,
4tkohvl,0bk9s,2020-07-20T06:16:51.318,3,PRINCIPAL,UNPAID,483500,483500,2020-10-20T16:59:59.999,
av3yclq,0bk9s,2020-07-20T06:16:51.318,3,INTEREST,UNPAID,0,0,2020-10-20T16:59:59.999,
y0ja7r6,0bk9s,2020-08-23T17:09:07.227,1,LATE_FEE,UNPAID,475000,475000,2020-08-20T16:59:59.999,
0rebryg,0h6b6,2020-09-23T17:08:20.393,2,LATE_FEE,UNPAID,315000,315000,2020-09-20T16:59:59.999,
khq2jkr,0h6b6,2020-07-20T09:46:22.481,1,INTEREST,PAID,0,0,2020-08-20T16:59:59.999,2020-08-28T02:41:19
4khtf2z,0h6b6,2020-07-20T09:46:22.481,1,PRINCIPAL,PAID,388500,0,2020-08-20T16:59:59.999,2020-09-30T06:29:10
bclxop7,0h6b6,2020-07-20T09:46:22.481,4,PRINCIPAL,UNPAID,388500,388500,2020-11-20T16:59:59.999,
